Date,Description,Amount,Balance
2024-11-01,Salary Deposit,15000.00,15000.00
2024-11-02,Woolworths Grocery,-850.50,14149.50
2024-11-03,Shell Fuel,-650.00,13499.50
2024-11-05,Netflix Subscription,-199.00,13300.50
2024-11-06,Pick n Pay,-420.30,12880.20
2024-11-08,Uber,-180.00,12700.20
2024-11-10,Electricity Payment,-1200.00,11500.20
2024-11-12,Restaurant Dinner,-450.00,11050.20
2024-11-15,Freelance Income,3500.00,14550.20
2024-11-18,Medical Aid,-1850.00,12700.20
2024-11-20,Checkers Grocery,-680.25,12019.95
2024-11-22,Takealot Purchase,-899.00,11120.95
2024-11-25,Client Payment,5000.00,16120.95
2024-11-28,Rent Payment,-8500.00,7620.95
